X,Y
0.58238876,3.221147018
0.164438946,3.694388275
0.039110666,6.770457201
0.622750165,4.653895797
0.556145504,3.821313788
1.699322964,3.812744183
1.961094963,8.591273186
0.854428012,2.600715097
1.133919388,1.724049603
1.343964321,3.094087307
1.572361671,2.892888644
1.951293796,7.234891713
0.510564974,3.545423822
0.265268444,4.552575833
0.365055936,4.430038557
1.082051832,3.222820402
0.81059286,3.688646122
1.267676915,3.879940933
1.186254427,4.446008384
0.725440283,3.086261738
0.39718192,5.518231774
1.268389539,2.866528797
1.216115383,2.867741216
1.636228436,3.218869966
0.84479969,2.95237626
1.923782126,8.41834987
1.184271216,1.704867851
0.134545863,6.975413167
0.411855568,3.13647782
0.047714082,4.304685236
1.212546449,1.12347296
1.378619787,1.615226675
0.666167051,3.529142616
1.576073003,3.172626288
0.865652891,4.483464998
0.924761637,2.285448545
1.423701019,1.838465848
1.530589522,1.002296263
0.643218151,3.416653679
0.354250147,4.895184536
1.225880354,1.37204942
1.399799749,2.487232348
0.066001444,3.632257099
1.994157399,7.26190684
0.115759255,5.364389541
0.037039361,3.516819818
1.539475663,3.299695665
0.490062664,3.519505738
1.038714523,3.96892858
1.030658225,4.16914147
1.791720758,5.873241807
0.818075659,3.531110843
0.049705025,3.673953439
1.798927842,4.31285166
0.030691199,4.812144357
0.921962067,2.617910959
1.442172683,2.637685684
0.080542378,6.395773235
0.180586301,6.287591494
1.510378037,5.709115892
1.63059827,3.254069694
1.781230233,5.479651236
1.423031305,2.071218761
0.504993643,4.114548509
0.254245605,6.143042068
0.975198555,4.163649562
1.59634204,3.099900726
1.089940745,3.355523987
1.477283939,4.167823695
0.773566701,3.998903697
0.417480373,4.866927136
0.324280368,4.033485474
1.422466039,3.547719992
1.856365324,7.758199159
1.338950641,3.048711622
1.258537099,3.876536988
1.683646738,4.183406248
0.398078372,4.901666588
0.850056301,2.839686661
1.272401731,2.584569698
0.408535908,3.844630302
0.550129304,4.163155764
1.27715643,2.632806753
0.136999014,5.021322429
0.378468938,4.404535392
1.466869321,3.017795266
0.929369147,3.704917833
1.737917813,6.699396615
0.832564518,4.391116052
1.05542995,3.404833732
0.557854042,4.707793822
1.244241159,2.350828784
1.495968895,3.301201751
0.382305031,3.984055267
0.404796746,5.926671026
1.952327418,7.28757777
0.14379743,4.405431286
0.038817458,4.566062678
1.566052455,4.351215729
0.262034033,4.110692997
1.08210967,1.574565645
0.574098886,4.869343255
0.849254178,4.253673646
0.497277555,6.84431401
1.570679879,3.622196496
1.316545089,3.567125657
0.619749354,3.10269782
1.605221657,4.577386344
1.538259517,4.986457665
1.744321561,7.310100604
1.16929338,4.000117285
1.648304423,4.575204676
1.713709834,4.664268067
0.540660924,5.378872635
0.77420584,3.969480164
0.284462804,5.635815388
1.725600003,5.250679529
0.283592539,5.441029936
0.440052266,3.657984145
1.958924661,7.433495517
1.670041786,4.087481484
1.731276904,5.280033308
0.607115026,2.962520841
1.754765041,5.031804463
1.034819296,1.142869122
0.10699477,4.206451669
0.067554438,5.001059569
1.062898678,3.789822322
1.825672817,5.865380928
0.322859476,5.382017564
1.188229856,2.734102394
0.994891255,2.016428351
0.544526866,2.839509102
0.53375757,4.939733436
0.224368297,4.589953556
0.617274242,4.533882059
1.51533921,3.547187291
1.253309102,2.722930681
0.567958973,3.049719767
1.156361326,2.146205006
1.785593018,6.299544507
1.776709809,5.102686465
0.360533923,5.307958913
0.936559581,1.989484964
1.042080336,3.515305495
1.05528674,2.673142254
1.028343913,2.843514165
1.958535053,7.5644074
1.655283241,4.84774559
0.534050253,4.704288539
1.019075542,2.969669296
1.971638925,9.351157535
0.298185352,5.558708523
1.441134487,2.89432025
1.618487299,4.955314582
1.801342235,5.674977055
0.11634099,3.564731747
1.096606091,4.321029918
0.924657017,3.022273085
0.440599233,4.130802683
0.559800055,4.055230296
0.222319516,4.363956615
1.085489609,2.179753729
0.711341659,3.626897204
0.787592261,5.468468602
1.750135729,5.789982952
0.5405877,3.729453496
0.092752922,4.804393505
0.685828618,3.675803116
1.332060079,2.565212549
0.891069186,2.986348239
0.146168772,5.398405161
1.915846078,6.334011681
0.621916964,4.77728838
1.862496158,7.446666357
1.755117127,4.359941287
1.981639651,7.447860585
1.350507361,3.467530265
0.447802697,4.160247252
1.917682525,8.037279697
0.707997904,3.993244755
1.724387467,5.333682051
0.114251792,4.69229266
1.982829663,6.811254758
1.6894267,4.186895602
1.292907774,2.756808225
0.937450344,2.564396928
1.911040066,7.132593754
0.47151464,4.981167948
1.129475402,3.157144334
1.537111144,3.392212003
0.217126066,5.066050149
1.093506507,2.486889427
0.563623545,4.32853047
0.205588259,4.188353289
1.532936121,3.560512044
0.861818361,2.892536951
0.691358855,4.887842361
0.36657047,3.490574947
0.125227507,5.709937315
